exam_year,question_id,question_type,topic,modality,question_text,description,image_path,correct_answer
Fall2017,Q9,B,Average relative KNN density / outlier detection on 1D Height values,screenshot,"We suspect that observation O10 may be an outlier. In order to assess if this is the case we would like to calculate the average relative KNN density based on Euclidean distance and the observations given in Figure 4 only. We recall that the KNN density and average relative density (ard) for the observation x_i are given by:
density_{X\i}(x_i, K) = 1 / ( (1/K) sum_{x' in N_{X\i}(x_i,K)} d(x_i, x') ),
ard_X(x_i, K) = density_{X\i}(x_i, K) / ( (1/K) sum_{x_j in N_{X\i}(x_i,K)} density_{X\j}(x_j, K) ),
where N_{X\i}(x_i, K) is the set of K nearest neighbors of observation x_i excluding the i'th observation, and ard_X(x_i, K) is the average relative density of x_i using K nearest neighbors (if observations are tied in terms of their distances to an observation, the observation with smallest observation number will be selected). Based on considering only the attribute Height and the ten observations in Figure 4, what is the average relative density for observation O10 for K = 3 nearest neighbors?

Figure 4 (value of attribute Height for the ten observations O1-O10, read along the Height axis):
Observation : Height
O1 : 5.7
O2 : 6.0
O3 : 6.2
O4 : 6.3
O5 : 6.4
O6 : 6.6
O7 : 6.7
O8 : 6.9
O9 : 7.0
O10 : 7.4

A. 0.409
B. 0.500
C. 0.533
D. 1.875",,data/screenshots/Fall2017_Q9.png,A
Fall2017,Q9,B,Average relative KNN density / outlier detection on 1D Height values,text_desc,"We suspect that observation O10 may be an outlier. In order to assess if this is the case we would like to calculate the average relative KNN density based on Euclidean distance and the observations given in Figure 4 only. We recall that the KNN density and average relative density (ard) for the observation x_i are given by:
density_{X\i}(x_i, K) = 1 / ( (1/K) sum_{x' in N_{X\i}(x_i,K)} d(x_i, x') ),
ard_X(x_i, K) = density_{X\i}(x_i, K) / ( (1/K) sum_{x_j in N_{X\i}(x_i,K)} density_{X\j}(x_j, K) ),
where N_{X\i}(x_i, K) is the set of K nearest neighbors of observation x_i excluding the i'th observation, and ard_X(x_i, K) is the average relative density of x_i using K nearest neighbors (if observations are tied in terms of their distances to an observation, the observation with smallest observation number will be selected). Based on considering only the attribute Height and the ten observations in Figure 4, what is the average relative density for observation O10 for K = 3 nearest neighbors?

Figure 4 (value of attribute Height for the ten observations O1-O10, read along the Height axis):
Observation : Height
O1 : 5.7
O2 : 6.0
O3 : 6.2
O4 : 6.3
O5 : 6.4
O6 : 6.6
O7 : 6.7
O8 : 6.9
O9 : 7.0
O10 : 7.4

A. 0.409
B. 0.500
C. 0.533
D. 1.875","Figure 4 (value of attribute Height for the ten observations O1-O10, read along the Height axis spanning 5.7 to 7.4):
Observation : Height
O1 : 5.7
O2 : 6.0
O3 : 6.2
O4 : 6.3
O5 : 6.4
O6 : 6.6
O7 : 6.7
O8 : 6.9
O9 : 7.0
O10 : 7.4
(The three nearest neighbors of O10 are O7, O8, O9 at distances 0.7, 0.5, 0.4 respectively.)",,A
Fall2017,Q10,B,Hierarchical clustering / matching dendrogram (average linkage),screenshot,"We will consider the Euclidean distance between the observations in Figure 4 based on the attribute Height only (i.e., the Euclidean distance between observation O1 and O2 is sqrt((5.7 - 6.0)^2) = 0.3). A hierarchical clustering is used to cluster the observations based on their distances to each other using average linkage (when ties in the agglomerative procedure clusters containing the smallest observation numbers will merge first). Which one of the dendrograms given in Figure 6 corresponds to the clustering?

Figure 6 shows four candidate dendrograms (Dendrogram 1, 2, 3, 4) derived using the Euclidean distance between the 10 observations based on the Height attribute.

A. Dendrogram 1.
B. Dendrogram 2.
C. Dendrogram 3.
D. Dendrogram 4.",,data/screenshots/Fall2017_Q10.png,D
Fall2017,Q11,B,Rand index (SMC) between dendrogram-2 cut and class labels,screenshot,"We will cut dendrogram 2 at the level of two clusters and evaluate this clustering in terms of its correspondence with the class label information in which O1, O2, O3, O4, O8, and O9 correspond to low values of FG whereas O5, O6, O7, and O10 correspond to high values of FG. We recall that the Rand index also denoted the simple matching coefficient (SMC) between the true labels and the extracted clusters is given by R = (f11 + f00) / K, where f11 is the number of object pairs in same class assigned to same cluster, f00 is the number of object pairs in different class assigned to different clusters, and K = N(N - 1)/2 is the total number of object pairs, where N is the number of observations considered. What is the value of R between the true labeling of the observations in terms of high and low FG values and the two clusters?

A. 0.3226
B. 0.5333
C. 0.5778
D. 0.6222",,data/screenshots/Fall2017_Q11.png,B
Fall2017,Q12,B,Gaussian Mixture Model / posterior cluster assignment probability (1D),screenshot,"We will fit a Gaussian mixture model (GMM) with three clusters to the 10 observations given in Figure 4. The fitted density is given in Figure 7 in which the overall density is given in gray and the contribution of each Gaussian given in blue. We recall that the Gaussian mixture model for 1-dimensional data is given by: p(x) = sum_k w_k (1/sqrt(2 pi sigma_k^2)) exp(-(1/(2 sigma_k^2))(x - mu_k)^2). For the clustering we have:
w1 = 0.37, w2 = 0.29, w3 = 0.34,
mu1 = 6.12, mu2 = 6.55, mu3 = 6.93,
sigma1^2 = 0.09, sigma2^2 = 0.13, sigma3^2 = 0.12.
The Height of observation O8 (read from Figure 4) is x8 = 6.9. What is the probability that observation O8 is assigned to cluster 2 according to the GMM?

A. 0.20
B. 0.29
C. 0.33
D. 0.37",,data/screenshots/Fall2017_Q12.png,C
Fall2017,Q12,B,Gaussian Mixture Model / posterior cluster assignment probability (1D),text_desc,"We will fit a Gaussian mixture model (GMM) with three clusters to the 10 observations given in Figure 4. The fitted density is given in Figure 7 in which the overall density is given in gray and the contribution of each Gaussian given in blue. We recall that the Gaussian mixture model for 1-dimensional data is given by: p(x) = sum_k w_k (1/sqrt(2 pi sigma_k^2)) exp(-(1/(2 sigma_k^2))(x - mu_k)^2). For the clustering we have:
w1 = 0.37, w2 = 0.29, w3 = 0.34,
mu1 = 6.12, mu2 = 6.55, mu3 = 6.93,
sigma1^2 = 0.09, sigma2^2 = 0.13, sigma3^2 = 0.12.
The Height of observation O8 (read from Figure 4) is x8 = 6.9. What is the probability that observation O8 is assigned to cluster 2 according to the GMM?

A. 0.20
B. 0.29
C. 0.33
D. 0.37","GMM parameters (three clusters, 1-dimensional data on attribute Height):
w1 = 0.37, w2 = 0.29, w3 = 0.34
mu1 = 6.12, mu2 = 6.55, mu3 = 6.93
sigma1^2 = 0.09, sigma2^2 = 0.13, sigma3^2 = 0.12
Height of observation O8 (from Figure 4): x8 = 6.9.",,C
Fall2017,Q13,B,"Confusion matrix / recall, precision, accuracy, class balance",screenshot,"We will consider a simple classifier that predicts the 54 basketball players as having high success rate of field goals (FG > 45%, considered the positive class) if they are taller than 6.65 foot and low otherwise (FG <= 45%, considered the negative class). The confusion matrix of the classifier is given in Figure 8. Which statement regarding the classifier is correct?

Figure 8 (confusion matrix; rows = Actual class, columns = Predicted class):
                                Predicted Positive (FG>45%)   Predicted Negative (FG<=45%)
Actual Positive (FG>45%)                 18                            12
Actual Negative (FG<=45%)                 9                            15

A. The recall of the classifier is 60.0 %.
B. The precision of the classifier is 61.1 %.
C. The accuracy of the classifier is 66.7 %.
D. The dataset is perfectly balanced.",,data/screenshots/Fall2017_Q13.png,A
Fall2017,Q13,B,"Confusion matrix / recall, precision, accuracy, class balance",text_desc,"We will consider a simple classifier that predicts the 54 basketball players as having high success rate of field goals (FG > 45%, considered the positive class) if they are taller than 6.65 foot and low otherwise (FG <= 45%, considered the negative class). The confusion matrix of the classifier is given in Figure 8. Which statement regarding the classifier is correct?

Figure 8 (confusion matrix; rows = Actual class, columns = Predicted class):
                                Predicted Positive (FG>45%)   Predicted Negative (FG<=45%)
Actual Positive (FG>45%)                 18                            12
Actual Negative (FG<=45%)                 9                            15

A. The recall of the classifier is 60.0 %.
B. The precision of the classifier is 61.1 %.
C. The accuracy of the classifier is 66.7 %.
D. The dataset is perfectly balanced.","Figure 8 (confusion matrix of the classifier; rows = Actual class, columns = Predicted class):
                                Predicted Positive (FG>45%)   Predicted Negative (FG<=45%)
Actual Positive (FG>45%)                 18                            12
Actual Negative (FG<=45%)                 9                            15
(TP=18, FN=12, FP=9, TN=15; 30 positive and 24 negative examples.)",,A
Fall2017,Q14,A,Bayes theorem from conditional probabilities,text,"The National Basketball Association (NBA) is the top basketball league in USA and all males playing in the NBA earns more than several million dollars a year or more making them all have a very high salary. In USA we will assume approximately 0.2 % of the male population that are not playing in the NBA makes such similar very high salary. Furthermore, we will assume two out of a million American males are playing in the NBA. Assuming the above, what is the probability that a male in USA making such very high salary plays in the NBA?

A. 0.0002%
B. 0.0010%
C. 0.0999%
D. 0.2002%",,,C
Fall2017,Q15,B,Classifier identification from decision boundaries,screenshot,"Four different classifiers are trained on the Basketball dataset considering the features Height and Weight in order to predict if the percentage of successful field goals is high (FG > 45%) or low (FG <= 45%). The decision boundary for each of the four classifiers is given in Figure 9 (gray regions classify into red crosses whereas white regions into black plusses). Which one of the following statements is correct?

A. Classifier 1 corresponds to logistic regression considering as input x1 and x2, Classifier 2 is a 3-nearest neighbor classifier using Euclidean distance, Classifier 3 is a decision tree including three decisions, Classifier 4 corresponds to a logistic regression considering as input x1, x2, and x1*x2.
B. Classifier 1 is a 3-nearest neighbor classifier using Euclidean distance, Classifier 2 is a decision tree including three decisions, Classifier 3 corresponds to logistic regression considering as input x1 and x2, Classifier 4 corresponds to a logistic regression considering as input x1, x2, and x1*x2.
C. Classifier 1 corresponds to a logistic regression considering as input x1, x2, and x1*x2, Classifier 2 is a 3-nearest neighbor classifier using Euclidean distance, Classifier 3 is a decision tree including three decisions, Classifier 4 corresponds to logistic regression considering as input x1 and x2.
D. Classifier 1 is a decision tree including three decisions, Classifier 2 corresponds to logistic regression considering as input x1, x2, and x1*x2, Classifier 3 corresponds to a logistic regression considering as input x1 and x2, Classifier 4 is a 3-nearest neighbor classifier using Euclidean distance.",,data/screenshots/Fall2017_Q15.png,A
Fall2017,Q16,A,Artificial neural network / forward pass with ReLU activation,text,"We will consider an artificial neural network (ANN) trained to predict the average score of a player (i.e., y). The ANN is based on the model: f(x, w) = w_0^(2) + sum_{j=1}^{2} w_j^(2) h^(1)([1 x] w_j^(1)), where h^(1)(x) = max(x, 0) is the rectified linear function used as activation function in the hidden layer (i.e., positive values are returned and negative values are set to zero). We will consider an ANN with two hidden units in the hidden layer defined by:
w_1^(1) = [21.78, -1.65, 0, -13.26, -8.46]^T, w_2^(1) = [-9.60, -0.44, 0.01, 14.54, 9.50]^T,
and w_0^(2) = 2.84, w_1^(2) = 3.25, and w_2^(2) = 3.46.
What is the predicted average score of a basketball player with observation vector x* = [6.8, 225, 0.44, 0.68]?

A. 1.00
B. 3.74
C. 8.21
D. 11.54",,,D
Fall2017,Q17,A,Cross-validation concepts,text,"Which statement regarding cross-validation is correct?

A. An advantage of five-fold cross-validation over three-fold cross-validation is that the datasets used for training are larger.
B. The more data used for training a model the more we can expect the model to overfit to the training data.
C. 10-fold cross-validation is more accurate but also more computationally expensive than leave-one-out cross-validation.
D. When upsampling data in order to avoid class imbalance issues the same observations should be included in the training and test set such that the training and test sets reflect the same properties.",,,A
Fall2017,Q18,C,Frequent itemsets / support threshold from binarized market-basket matrix,screenshot,"Considering the dataset in Table 3 as a market basket problem with observation O1-O10 corresponding to customers and HL, HH, WL, WH, FG<=45%, FG>45%, FT<=75%, and FT>75% corresponding to items. What are all frequent itemsets with support greater than 35%?

Table 3 (ten observations binarized; columns HL, HH, WL, WH, FG<=45%, FG>45%, FT<=75%, FT>75%):
      HL  HH  WL  WH  FG<=45%  FG>45%  FT<=75%  FT>75%
O1     1   0   1   0     1        0       1        0
O2     1   0   1   0     1        0       1        0
O3     1   0   1   0     1        0       1        0
O4     1   0   1   0     1        0       0        1
O5     1   0   1   0     0        1       0        1
O6     1   0   0   1     0        1       1        0
O7     0   1   1   0     0        1       0        1
O8     0   1   1   0     1        0       0        1
O9     0   1   0   1     1        0       1        0
O10    0   1   0   1     0        1       1        0

A. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, and {FT>75%}.
B. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, {FT>75%}, {HL,WL}, {HL,FG<=45%}, {HL,FT<=75%}, {WL,FG<=45%}, {WL,FT>75%}, and {FG<=45%,FT<=75%}.
C. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, {FT>75%}, {HL,WL}, {HL,FG<=45%}, {HL,FT<=75%}, {WL,FG<=45%}, {WL,FT>75%}, {FG<=45%,FT<=75%}, and {HL,WL,FG<=45%}.
D. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, {FT>75%}, {HL,WL}, {HL,FG<=45%}, {HL,FT<=75%}, {WL,FG<=45%}, {WL,FT>75%}, {FG<=45%,FT<=75%}, and {HL,WL,FT<=75%}.",,data/screenshots/Fall2017_Q18.png,C
Fall2017,Q18,C,Frequent itemsets / support threshold from binarized market-basket matrix,text_desc,"Considering the dataset in Table 3 as a market basket problem with observation O1-O10 corresponding to customers and HL, HH, WL, WH, FG<=45%, FG>45%, FT<=75%, and FT>75% corresponding to items. What are all frequent itemsets with support greater than 35%?

Table 3 (ten observations binarized; columns HL, HH, WL, WH, FG<=45%, FG>45%, FT<=75%, FT>75%):
      HL  HH  WL  WH  FG<=45%  FG>45%  FT<=75%  FT>75%
O1     1   0   1   0     1        0       1        0
O2     1   0   1   0     1        0       1        0
O3     1   0   1   0     1        0       1        0
O4     1   0   1   0     1        0       0        1
O5     1   0   1   0     0        1       0        1
O6     1   0   0   1     0        1       1        0
O7     0   1   1   0     0        1       0        1
O8     0   1   1   0     1        0       0        1
O9     0   1   0   1     1        0       1        0
O10    0   1   0   1     0        1       1        0

A. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, and {FT>75%}.
B. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, {FT>75%}, {HL,WL}, {HL,FG<=45%}, {HL,FT<=75%}, {WL,FG<=45%}, {WL,FT>75%}, and {FG<=45%,FT<=75%}.
C. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, {FT>75%}, {HL,WL}, {HL,FG<=45%}, {HL,FT<=75%}, {WL,FG<=45%}, {WL,FT>75%}, {FG<=45%,FT<=75%}, and {HL,WL,FG<=45%}.
D. {HL}, {HH}, {WL}, {FG<=45%}, {FG>45%}, {FT<=75%}, {FT>75%}, {HL,WL}, {HL,FG<=45%}, {HL,FT<=75%}, {WL,FG<=45%}, {WL,FT>75%}, {FG<=45%,FT<=75%}, and {HL,WL,FT<=75%}.","Table 3 (the ten observations of the Basketball dataset binarized over attributes x1-x4; x1 (Height) and x2 (Weight) binarized as below/above the dataset median into HL/HH and WL/WH; x3 thresholded at FG success rate 45% into FG<=45%/FG>45%; x4 thresholded at FT success rate 75% into FT<=75%/FT>75%):
      HL  HH  WL  WH  FG<=45%  FG>45%  FT<=75%  FT>75%
O1     1   0   1   0     1        0       1        0
O2     1   0   1   0     1        0       1        0
O3     1   0   1   0     1        0       1        0
O4     1   0   1   0     1        0       0        1
O5     1   0   1   0     0        1       0        1
O6     1   0   0   1     0        1       1        0
O7     0   1   1   0     0        1       0        1
O8     0   1   1   0     1        0       0        1
O9     0   1   0   1     1        0       1        0
O10    0   1   0   1     0        1       1        0
Color coding by average points scored per game y: low {O2, O3, O6, O9}; mid {O1, O4}; high {O5, O7, O8, O10}.",,C
Fall2017,Q19,C,Association rule confidence from binarized market-basket matrix,screenshot,"We consider again the data in Table 3 as a market basket problem. What is the confidence of the association rule {HL, WL} -> {FG<=45%, FT<=75%}?

Table 3 (ten observations binarized; columns HL, HH, WL, WH, FG<=45%, FG>45%, FT<=75%, FT>75%):
      HL  HH  WL  WH  FG<=45%  FG>45%  FT<=75%  FT>75%
O1     1   0   1   0     1        0       1        0
O2     1   0   1   0     1        0       1        0
O3     1   0   1   0     1        0       1        0
O4     1   0   1   0     1        0       0        1
O5     1   0   1   0     0        1       0        1
O6     1   0   0   1     0        1       1        0
O7     0   1   1   0     0        1       0        1
O8     0   1   1   0     1        0       0        1
O9     0   1   0   1     1        0       1        0
O10    0   1   0   1     0        1       1        0

A. 30 %
B. 40 %
C. 50 %
D. 60 %",,data/screenshots/Fall2017_Q19.png,D
